question,answer,term,type,category,source
Causes de Type 2 Diabetes Mellitus,"En médecine, Type 2 Diabetes Mellitus se réfère à: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Type 2 Diabetes Mellitus,disease,Endocrinology,augmented
Symptômes du Coronary Artery Disease,Coronary Artery Disease: Pathological condition requiring ongoing monitoring and treatment.,Coronary Artery Disease,disease,Cardiovascular,augmented
Symptômes du Coronary Artery Disease,"En médecine, Coronary Artery Disease se réfère à: Pathological condition requiring ongoing monitoring and treatment.",Coronary Artery Disease,disease,Cardiovascular,augmented
Traitement de Coronary Artery Disease,Coronary Artery Disease: Pathological condition requiring ongoing monitoring and treatment.,Coronary Artery Disease,disease,Cardiovascular,augmented
Traitement de Coronary Artery Disease,"En médecine, Coronary Artery Disease se réfère à: Pathological condition requiring ongoing monitoring and treatment.",Coronary Artery Disease,disease,Cardiovascular,augmented
Causes de Coronary Artery Disease,Coronary Artery Disease: Pathological condition requiring ongoing monitoring and treatment.,Coronary Artery Disease,disease,Cardiovascular,augmented
Causes de Coronary Artery Disease,"En médecine, Coronary Artery Disease se réfère à: Pathological condition requiring ongoing monitoring and treatment.",Coronary Artery Disease,disease,Cardiovascular,augmented
Symptômes du Chronic Obstructive Pulmonary Disease,"Chronic Obstructive Pulmonary Disease: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Chronic Obstructive Pulmonary Disease,disease,Respiratory,augmented
Symptômes du Chronic Obstructive Pulmonary Disease,"En médecine, Chronic Obstructive Pulmonary Disease se réfère à: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Chronic Obstructive Pulmonary Disease,disease,Respiratory,augmented
Traitement de Chronic Obstructive Pulmonary Disease,"Chronic Obstructive Pulmonary Disease: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Chronic Obstructive Pulmonary Disease,disease,Respiratory,augmented
Traitement de Chronic Obstructive Pulmonary Disease,"En médecine, Chronic Obstructive Pulmonary Disease se réfère à: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Chronic Obstructive Pulmonary Disease,disease,Respiratory,augmented
Causes de Chronic Obstructive Pulmonary Disease,"Chronic Obstructive Pulmonary Disease: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Chronic Obstructive Pulmonary Disease,disease,Respiratory,augmented
Causes de Chronic Obstructive Pulmonary Disease,"En médecine, Chronic Obstructive Pulmonary Disease se réfère à: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Chronic Obstructive Pulmonary Disease,disease,Respiratory,augmented
Symptômes du Asthma,Asthma: Health condition with specific diagnostic criteria and treatment protocols.,Asthma,disease,Respiratory,augmented
Symptômes du Asthma,"En médecine, Asthma se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Asthma,disease,Respiratory,augmented
Traitement de Asthma,Asthma: Health condition with specific diagnostic criteria and treatment protocols.,Asthma,disease,Respiratory,augmented
Traitement de Asthma,"En médecine, Asthma se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Asthma,disease,Respiratory,augmented
Causes de Asthma,Asthma: Health condition with specific diagnostic criteria and treatment protocols.,Asthma,disease,Respiratory,augmented
Causes de Asthma,"En médecine, Asthma se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Asthma,disease,Respiratory,augmented
Symptômes du Rheumatoid Arthritis,Rheumatoid Arthritis: Health condition with specific diagnostic criteria and treatment protocols.,Rheumatoid Arthritis,disease,Musculoskeletal,augmented
Symptômes du Rheumatoid Arthritis,"En médecine, Rheumatoid Arthritis se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Rheumatoid Arthritis,disease,Musculoskeletal,augmented
Traitement de Rheumatoid Arthritis,Rheumatoid Arthritis: Health condition with specific diagnostic criteria and treatment protocols.,Rheumatoid Arthritis,disease,Musculoskeletal,augmented
Traitement de Rheumatoid Arthritis,"En médecine, Rheumatoid Arthritis se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Rheumatoid Arthritis,disease,Musculoskeletal,augmented
Causes de Rheumatoid Arthritis,Rheumatoid Arthritis: Health condition with specific diagnostic criteria and treatment protocols.,Rheumatoid Arthritis,disease,Musculoskeletal,augmented
Causes de Rheumatoid Arthritis,"En médecine, Rheumatoid Arthritis se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Rheumatoid Arthritis,disease,Musculoskeletal,augmented
Symptômes du Osteoarthritis,"Osteoarthritis: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Osteoarthritis,disease,Musculoskeletal,augmented
Symptômes du Osteoarthritis,"En médecine, Osteoarthritis se réfère à: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Osteoarthritis,disease,Musculoskeletal,augmented
Traitement de Osteoarthritis,"Osteoarthritis: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Osteoarthritis,disease,Musculoskeletal,augmented
Traitement de Osteoarthritis,"En médecine, Osteoarthritis se réfère à: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Osteoarthritis,disease,Musculoskeletal,augmented
Causes de Osteoarthritis,"Osteoarthritis: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Osteoarthritis,disease,Musculoskeletal,augmented
Causes de Osteoarthritis,"En médecine, Osteoarthritis se réfère à: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Osteoarthritis,disease,Musculoskeletal,augmented
Symptômes du Major Depressive Disorder,Major Depressive Disorder: Pathological condition requiring ongoing monitoring and treatment.,Major Depressive Disorder,disease,Psychiatric,augmented
Symptômes du Major Depressive Disorder,"En médecine, Major Depressive Disorder se réfère à: Pathological condition requiring ongoing monitoring and treatment.",Major Depressive Disorder,disease,Psychiatric,augmented
Traitement de Major Depressive Disorder,Major Depressive Disorder: Pathological condition requiring ongoing monitoring and treatment.,Major Depressive Disorder,disease,Psychiatric,augmented
Traitement de Major Depressive Disorder,"En médecine, Major Depressive Disorder se réfère à: Pathological condition requiring ongoing monitoring and treatment.",Major Depressive Disorder,disease,Psychiatric,augmented
Causes de Major Depressive Disorder,Major Depressive Disorder: Pathological condition requiring ongoing monitoring and treatment.,Major Depressive Disorder,disease,Psychiatric,augmented
Causes de Major Depressive Disorder,"En médecine, Major Depressive Disorder se réfère à: Pathological condition requiring ongoing monitoring and treatment.",Major Depressive Disorder,disease,Psychiatric,augmented
Symptômes du Generalized Anxiety Disorder,Generalized Anxiety Disorder: Health condition with specific diagnostic criteria and treatment protocols.,Generalized Anxiety Disorder,disease,Psychiatric,augmented
Symptômes du Generalized Anxiety Disorder,"En médecine, Generalized Anxiety Disorder se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Generalized Anxiety Disorder,disease,Psychiatric,augmented
Traitement de Generalized Anxiety Disorder,Generalized Anxiety Disorder: Health condition with specific diagnostic criteria and treatment protocols.,Generalized Anxiety Disorder,disease,Psychiatric,augmented
Traitement de Generalized Anxiety Disorder,"En médecine, Generalized Anxiety Disorder se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Generalized Anxiety Disorder,disease,Psychiatric,augmented
Causes de Generalized Anxiety Disorder,Generalized Anxiety Disorder: Health condition with specific diagnostic criteria and treatment protocols.,Generalized Anxiety Disorder,disease,Psychiatric,augmented
Causes de Generalized Anxiety Disorder,"En médecine, Generalized Anxiety Disorder se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Generalized Anxiety Disorder,disease,Psychiatric,augmented
Symptômes du Hypothyroidism,Hypothyroidism: Common endocrinology disorder with significant impact on quality of life.,Hypothyroidism,disease,Endocrinology,augmented
Symptômes du Hypothyroidism,"En médecine, Hypothyroidism se réfère à: Common endocrinology disorder with significant impact on quality of life.",Hypothyroidism,disease,Endocrinology,augmented
Traitement de Hypothyroidism,Hypothyroidism: Common endocrinology disorder with significant impact on quality of life.,Hypothyroidism,disease,Endocrinology,augmented
Traitement de Hypothyroidism,"En médecine, Hypothyroidism se réfère à: Common endocrinology disorder with significant impact on quality of life.",Hypothyroidism,disease,Endocrinology,augmented
Causes de Hypothyroidism,Hypothyroidism: Common endocrinology disorder with significant impact on quality of life.,Hypothyroidism,disease,Endocrinology,augmented
Causes de Hypothyroidism,"En médecine, Hypothyroidism se réfère à: Common endocrinology disorder with significant impact on quality of life.",Hypothyroidism,disease,Endocrinology,augmented
Symptômes du Hyperthyroidism,Hyperthyroidism: Health condition with specific diagnostic criteria and treatment protocols.,Hyperthyroidism,disease,Endocrinology,augmented
Symptômes du Hyperthyroidism,"En médecine, Hyperthyroidism se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Hyperthyroidism,disease,Endocrinology,augmented
Traitement de Hyperthyroidism,Hyperthyroidism: Health condition with specific diagnostic criteria and treatment protocols.,Hyperthyroidism,disease,Endocrinology,augmented
Traitement de Hyperthyroidism,"En médecine, Hyperthyroidism se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Hyperthyroidism,disease,Endocrinology,augmented
Causes de Hyperthyroidism,Hyperthyroidism: Health condition with specific diagnostic criteria and treatment protocols.,Hyperthyroidism,disease,Endocrinology,augmented
Causes de Hyperthyroidism,"En médecine, Hyperthyroidism se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Hyperthyroidism,disease,Endocrinology,augmented
Symptômes du Heart Failure,Heart Failure: Health condition with specific diagnostic criteria and treatment protocols.,Heart Failure,disease,Cardiovascular,augmented
Symptômes du Heart Failure,"En médecine, Heart Failure se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Heart Failure,disease,Cardiovascular,augmented
Traitement de Heart Failure,Heart Failure: Health condition with specific diagnostic criteria and treatment protocols.,Heart Failure,disease,Cardiovascular,augmented
Traitement de Heart Failure,"En médecine, Heart Failure se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Heart Failure,disease,Cardiovascular,augmented
Causes de Heart Failure,Heart Failure: Health condition with specific diagnostic criteria and treatment protocols.,Heart Failure,disease,Cardiovascular,augmented
Causes de Heart Failure,"En médecine, Heart Failure se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Heart Failure,disease,Cardiovascular,augmented
Symptômes du Atrial Fibrillation,Atrial Fibrillation: Medical condition characterized by atrial fibrillation requiring medical management.,Atrial Fibrillation,disease,Cardiovascular,augmented
Symptômes du Atrial Fibrillation,"En médecine, Atrial Fibrillation se réfère à: Medical condition characterized by atrial fibrillation requiring medical management.",Atrial Fibrillation,disease,Cardiovascular,augmented
Traitement de Atrial Fibrillation,Atrial Fibrillation: Medical condition characterized by atrial fibrillation requiring medical management.,Atrial Fibrillation,disease,Cardiovascular,augmented
Traitement de Atrial Fibrillation,"En médecine, Atrial Fibrillation se réfère à: Medical condition characterized by atrial fibrillation requiring medical management.",Atrial Fibrillation,disease,Cardiovascular,augmented
Causes de Atrial Fibrillation,Atrial Fibrillation: Medical condition characterized by atrial fibrillation requiring medical management.,Atrial Fibrillation,disease,Cardiovascular,augmented
Causes de Atrial Fibrillation,"En médecine, Atrial Fibrillation se réfère à: Medical condition characterized by atrial fibrillation requiring medical management.",Atrial Fibrillation,disease,Cardiovascular,augmented
Symptômes du Stroke,Stroke: Common neurological disorder with significant impact on quality of life.,Stroke,disease,Neurological,augmented
Symptômes du Stroke,"En médecine, Stroke se réfère à: Common neurological disorder with significant impact on quality of life.",Stroke,disease,Neurological,augmented
Traitement de Stroke,Stroke: Common neurological disorder with significant impact on quality of life.,Stroke,disease,Neurological,augmented
Traitement de Stroke,"En médecine, Stroke se réfère à: Common neurological disorder with significant impact on quality of life.",Stroke,disease,Neurological,augmented
Causes de Stroke,Stroke: Common neurological disorder with significant impact on quality of life.,Stroke,disease,Neurological,augmented
Causes de Stroke,"En médecine, Stroke se réfère à: Common neurological disorder with significant impact on quality of life.",Stroke,disease,Neurological,augmented
Symptômes du Migraine,Migraine: Health condition with specific diagnostic criteria and treatment protocols.,Migraine,disease,Neurological,augmented
Symptômes du Migraine,"En médecine, Migraine se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Migraine,disease,Neurological,augmented
Traitement de Migraine,Migraine: Health condition with specific diagnostic criteria and treatment protocols.,Migraine,disease,Neurological,augmented
Traitement de Migraine,"En médecine, Migraine se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Migraine,disease,Neurological,augmented
Causes de Migraine,Migraine: Health condition with specific diagnostic criteria and treatment protocols.,Migraine,disease,Neurological,augmented
Causes de Migraine,"En médecine, Migraine se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Migraine,disease,Neurological,augmented
Symptômes du Irritable Bowel Syndrome,"Irritable Bowel Syndrome: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Irritable Bowel Syndrome,disease,Gastrointestinal,augmented
Symptômes du Irritable Bowel Syndrome,"En médecine, Irritable Bowel Syndrome se réfère à: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Irritable Bowel Syndrome,disease,Gastrointestinal,augmented
Traitement de Irritable Bowel Syndrome,"Irritable Bowel Syndrome: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Irritable Bowel Syndrome,disease,Gastrointestinal,augmented
Traitement de Irritable Bowel Syndrome,"En médecine, Irritable Bowel Syndrome se réfère à: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Irritable Bowel Syndrome,disease,Gastrointestinal,augmented
Causes de Irritable Bowel Syndrome,"Irritable Bowel Syndrome: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Irritable Bowel Syndrome,disease,Gastrointestinal,augmented
Causes de Irritable Bowel Syndrome,"En médecine, Irritable Bowel Syndrome se réfère à: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Irritable Bowel Syndrome,disease,Gastrointestinal,augmented
Symptômes du Inflammatory Bowel Disease,Inflammatory Bowel Disease: Health condition with specific diagnostic criteria and treatment protocols.,Inflammatory Bowel Disease,disease,Gastrointestinal,augmented
Symptômes du Inflammatory Bowel Disease,"En médecine, Inflammatory Bowel Disease se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Inflammatory Bowel Disease,disease,Gastrointestinal,augmented
Traitement de Inflammatory Bowel Disease,Inflammatory Bowel Disease: Health condition with specific diagnostic criteria and treatment protocols.,Inflammatory Bowel Disease,disease,Gastrointestinal,augmented
Traitement de Inflammatory Bowel Disease,"En médecine, Inflammatory Bowel Disease se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Inflammatory Bowel Disease,disease,Gastrointestinal,augmented
Causes de Inflammatory Bowel Disease,Inflammatory Bowel Disease: Health condition with specific diagnostic criteria and treatment protocols.,Inflammatory Bowel Disease,disease,Gastrointestinal,augmented
Causes de Inflammatory Bowel Disease,"En médecine, Inflammatory Bowel Disease se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Inflammatory Bowel Disease,disease,Gastrointestinal,augmented
Symptômes du Gastroesophageal Reflux Disease,Gastroesophageal Reflux Disease: Common gastrointestinal disorder with significant impact on quality of life.,Gastroesophageal Reflux Disease,disease,Gastrointestinal,augmented
Symptômes du Gastroesophageal Reflux Disease,"En médecine, Gastroesophageal Reflux Disease se réfère à: Common gastrointestinal disorder with significant impact on quality of life.",Gastroesophageal Reflux Disease,disease,Gastrointestinal,augmented
Traitement de Gastroesophageal Reflux Disease,Gastroesophageal Reflux Disease: Common gastrointestinal disorder with significant impact on quality of life.,Gastroesophageal Reflux Disease,disease,Gastrointestinal,augmented
Traitement de Gastroesophageal Reflux Disease,"En médecine, Gastroesophageal Reflux Disease se réfère à: Common gastrointestinal disorder with significant impact on quality of life.",Gastroesophageal Reflux Disease,disease,Gastrointestinal,augmented
Causes de Gastroesophageal Reflux Disease,Gastroesophageal Reflux Disease: Common gastrointestinal disorder with significant impact on quality of life.,Gastroesophageal Reflux Disease,disease,Gastrointestinal,augmented
Causes de Gastroesophageal Reflux Disease,"En médecine, Gastroesophageal Reflux Disease se réfère à: Common gastrointestinal disorder with significant impact on quality of life.",Gastroesophageal Reflux Disease,disease,Gastrointestinal,augmented
Symptômes du Chronic Kidney Disease,Chronic Kidney Disease: Pathological condition requiring ongoing monitoring and treatment.,Chronic Kidney Disease,disease,Renal,augmented
Symptômes du Chronic Kidney Disease,"En médecine, Chronic Kidney Disease se réfère à: Pathological condition requiring ongoing monitoring and treatment.",Chronic Kidney Disease,disease,Renal,augmented
Traitement de Chronic Kidney Disease,Chronic Kidney Disease: Pathological condition requiring ongoing monitoring and treatment.,Chronic Kidney Disease,disease,Renal,augmented
Traitement de Chronic Kidney Disease,"En médecine, Chronic Kidney Disease se réfère à: Pathological condition requiring ongoing monitoring and treatment.",Chronic Kidney Disease,disease,Renal,augmented
Causes de Chronic Kidney Disease,Chronic Kidney Disease: Pathological condition requiring ongoing monitoring and treatment.,Chronic Kidney Disease,disease,Renal,augmented
Causes de Chronic Kidney Disease,"En médecine, Chronic Kidney Disease se réfère à: Pathological condition requiring ongoing monitoring and treatment.",Chronic Kidney Disease,disease,Renal,augmented
Symptômes du Urinary Tract Infection,Urinary Tract Infection: Health condition with specific diagnostic criteria and treatment protocols.,Urinary Tract Infection,disease,Infectious,augmented
Symptômes du Urinary Tract Infection,"En médecine, Urinary Tract Infection se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Urinary Tract Infection,disease,Infectious,augmented
Traitement de Urinary Tract Infection,Urinary Tract Infection: Health condition with specific diagnostic criteria and treatment protocols.,Urinary Tract Infection,disease,Infectious,augmented
Traitement de Urinary Tract Infection,"En médecine, Urinary Tract Infection se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Urinary Tract Infection,disease,Infectious,augmented
Causes de Urinary Tract Infection,Urinary Tract Infection: Health condition with specific diagnostic criteria and treatment protocols.,Urinary Tract Infection,disease,Infectious,augmented
Causes de Urinary Tract Infection,"En médecine, Urinary Tract Infection se réfère à: Health condition with specific diagnostic criteria and treatment protocols.",Urinary Tract Infection,disease,Infectious,augmented
