term,abbreviation,type,category,normal_min,normal_max,critical_low,critical_high,unit,frequency_score,icd10_code,cpt_code,snomed_id,explanation
Coronary Artery Disease,CAD,disease,Cardiovascular,,,,,,0.46,I92.7,,,Pathological condition requiring ongoing monitoring and treatment.
Coronary Artery Disease (variante),CAD_syn,disease,Cardiovascular,,,,,,0.46,I92.7,,,Pathological condition requiring ongoing monitoring and treatment.
Coronary Artery Disease,CAD,disease,Cardiovascular,,,,,,0.36800000000000005,I92.7,,,Condition de santé: Pathological condition requiring ongoing monitoring and treatment. Pathological condition requiring ongoing monitoring and treatment.
Coronary Artery Disease,CAD,disease,Cardiovascular,,,,,,0.36800000000000005,I92.7,,,Trouble médical: Pathological condition requiring ongoing monitoring and treatment. Pathological condition requiring ongoing monitoring and treatment.
Coronary Artery Disease,CAD,disease,Cardiovascular,,,,,,0.46,I92.7,,,Pathological condition requiring ongoing monitoring and treatment. Système cardiovasculaire
Coronary Artery Disease,CAD,disease,Cardiovascular,,,,,,0.46,I92.7,,,Pathological condition requiring ongoing monitoring and treatment. Cœur et vaisseaux
Chronic Obstructive Pulmonary Disease,COPD,disease,Respiratory,,,,,,0.32,I81.8,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Chronic Obstructive Pulmonary Disease (variante),COPD_syn,disease,Respiratory,,,,,,0.32,I81.8,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Chronic Obstructive Pulmonary Disease,COPD,disease,Respiratory,,,,,,0.256,I81.8,,,"Condition de santé: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication. Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Chronic Obstructive Pulmonary Disease,COPD,disease,Respiratory,,,,,,0.256,I81.8,,,"Symptômes du Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication. Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Chronic Obstructive Pulmonary Disease,COPD,disease,Respiratory,,,,,,0.32,I81.8,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication. Appareil respiratoire"
Chronic Obstructive Pulmonary Disease,COPD,disease,Respiratory,,,,,,0.32,I81.8,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication. Poumons"
Asthma,,disease,Respiratory,,,,,,0.49,I84.6,,3320821.0,Health condition with specific diagnostic criteria and treatment protocols.
Asthme bronchique,,disease,Respiratory,,,,,,0.49,I84.6,,3320821.0,Health condition with specific diagnostic criteria and treatment protocols.
Crise d'asthme,,disease,Respiratory,,,,,,0.49,I84.6,,3320821.0,Health condition with specific diagnostic criteria and treatment protocols.
Asthma,,disease,Respiratory,,,,,,0.392,I84.6,,3320821.0,Diagnostic de Health condition with specific diagnostic criteria and treatment protocols. Health condition with specific diagnostic criteria and treatment protocols.
Asthma,,disease,Respiratory,,,,,,0.392,I84.6,,3320821.0,Pathologie: Health condition with specific diagnostic criteria and treatment protocols. Health condition with specific diagnostic criteria and treatment protocols.
Asthma,,disease,Respiratory,,,,,,0.49,I84.6,,3320821.0,Health condition with specific diagnostic criteria and treatment protocols. Appareil respiratoire
Asthma,,disease,Respiratory,,,,,,0.49,I84.6,,3320821.0,Health condition with specific diagnostic criteria and treatment protocols. Poumons
Rheumatoid Arthritis,RA,disease,Musculoskeletal,,,,,,0.54,I16.1,,,Health condition with specific diagnostic criteria and treatment protocols.
Rheumatoid Arthritis (variante),RA_syn,disease,Musculoskeletal,,,,,,0.54,I16.1,,,Health condition with specific diagnostic criteria and treatment protocols.
Rheumatoid Arthritis,RA,disease,Musculoskeletal,,,,,,0.43200000000000005,I16.1,,,Trouble médical: Health condition with specific diagnostic criteria and treatment protocols. Health condition with specific diagnostic criteria and treatment protocols.
Rheumatoid Arthritis,RA,disease,Musculoskeletal,,,,,,0.43200000000000005,I16.1,,,Diagnostic de Health condition with specific diagnostic criteria and treatment protocols. Health condition with specific diagnostic criteria and treatment protocols.
Osteoarthritis,OA,disease,Musculoskeletal,,,,,,0.81,I64.9,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Osteoarthritis (variante),OA_syn,disease,Musculoskeletal,,,,,,0.81,I64.9,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Osteoarthritis,OA,disease,Musculoskeletal,,,,,,0.6480000000000001,I64.9,,,"Diagnostic de Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication. Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Osteoarthritis,OA,disease,Musculoskeletal,,,,,,0.6480000000000001,I64.9,,,"Trouble médical: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication. Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Major Depressive Disorder,MDD,disease,Psychiatric,,,,,,0.64,I69.8,,,Pathological condition requiring ongoing monitoring and treatment.
Major Depressive Disorder (variante),MDD_syn,disease,Psychiatric,,,,,,0.64,I69.8,,,Pathological condition requiring ongoing monitoring and treatment.
Major Depressive Disorder,MDD,disease,Psychiatric,,,,,,0.512,I69.8,,,Trouble médical: Pathological condition requiring ongoing monitoring and treatment. Pathological condition requiring ongoing monitoring and treatment.
Generalized Anxiety Disorder,GAD,disease,Psychiatric,,,,,,0.87,I11.1,,5476583.0,Health condition with specific diagnostic criteria and treatment protocols.
Generalized Anxiety Disorder (variante),GAD_syn,disease,Psychiatric,,,,,,0.87,I11.1,,5476583.0,Health condition with specific diagnostic criteria and treatment protocols.
Generalized Anxiety Disorder,GAD,disease,Psychiatric,,,,,,0.6960000000000001,I11.1,,5476583.0,La maladie Health condition with specific diagnostic criteria and treatment protocols. est Health condition with specific diagnostic criteria and treatment protocols.
Generalized Anxiety Disorder,GAD,disease,Psychiatric,,,,,,0.6960000000000001,I11.1,,5476583.0,Diagnostic de Health condition with specific diagnostic criteria and treatment protocols. Health condition with specific diagnostic criteria and treatment protocols.
Hypothyroidism,,disease,Endocrinology,,,,,,0.2,I65.2,,5418934.0,Common endocrinology disorder with significant impact on quality of life.
Hypothyroidism (variante),,disease,Endocrinology,,,,,,0.2,I65.2,,5418934.0,Common endocrinology disorder with significant impact on quality of life.
Hypothyroidism,,disease,Endocrinology,,,,,,0.16000000000000003,I65.2,,5418934.0,Trouble médical: Common endocrinology disorder with significant impact on quality of life. Common endocrinology disorder with significant impact on quality of life.
Hypothyroidism,,disease,Endocrinology,,,,,,0.16000000000000003,I65.2,,5418934.0,Diagnostic de Common endocrinology disorder with significant impact on quality of life. Common endocrinology disorder with significant impact on quality of life.
Hypothyroidism,,disease,Endocrinology,,,,,,0.2,I65.2,,5418934.0,Common endocrinology disorder with significant impact on quality of life. Système endocrinien
Hypothyroidism,,disease,Endocrinology,,,,,,0.2,I65.2,,5418934.0,Common endocrinology disorder with significant impact on quality of life. Hormones
Hyperthyroidism,,disease,Endocrinology,,,,,,0.79,I74.1,,6007072.0,Health condition with specific diagnostic criteria and treatment protocols.
Hyperthyroidism (variante),,disease,Endocrinology,,,,,,0.79,I74.1,,6007072.0,Health condition with specific diagnostic criteria and treatment protocols.
Hyperthyroidism,,disease,Endocrinology,,,,,,0.6320000000000001,I74.1,,6007072.0,Condition de santé: Health condition with specific diagnostic criteria and treatment protocols. Health condition with specific diagnostic criteria and treatment protocols.
Hyperthyroidism,,disease,Endocrinology,,,,,,0.6320000000000001,I74.1,,6007072.0,Pathologie: Health condition with specific diagnostic criteria and treatment protocols. Health condition with specific diagnostic criteria and treatment protocols.
Hyperthyroidism,,disease,Endocrinology,,,,,,0.79,I74.1,,6007072.0,Health condition with specific diagnostic criteria and treatment protocols. Système endocrinien
Hyperthyroidism,,disease,Endocrinology,,,,,,0.79,I74.1,,6007072.0,Health condition with specific diagnostic criteria and treatment protocols. Hormones
Heart Failure,HF,disease,Cardiovascular,,,,,,0.65,I29.5,,9897858.0,Health condition with specific diagnostic criteria and treatment protocols.
Heart Failure (variante),HF_syn,disease,Cardiovascular,,,,,,0.65,I29.5,,9897858.0,Health condition with specific diagnostic criteria and treatment protocols.
Heart Failure,HF,disease,Cardiovascular,,,,,,0.52,I29.5,,9897858.0,Pathologie: Health condition with specific diagnostic criteria and treatment protocols. Health condition with specific diagnostic criteria and treatment protocols.
Heart Failure,HF,disease,Cardiovascular,,,,,,0.52,I29.5,,9897858.0,Diagnostic de Health condition with specific diagnostic criteria and treatment protocols. Health condition with specific diagnostic criteria and treatment protocols.
Heart Failure,HF,disease,Cardiovascular,,,,,,0.65,I29.5,,9897858.0,Health condition with specific diagnostic criteria and treatment protocols. Système cardiovasculaire
Heart Failure,HF,disease,Cardiovascular,,,,,,0.65,I29.5,,9897858.0,Health condition with specific diagnostic criteria and treatment protocols. Cœur et vaisseaux
Atrial Fibrillation,AFib,disease,Cardiovascular,,,,,,0.64,I72.0,,,Medical condition characterized by atrial fibrillation requiring medical management.
Atrial Fibrillation (variante),AFib_syn,disease,Cardiovascular,,,,,,0.64,I72.0,,,Medical condition characterized by atrial fibrillation requiring medical management.
Atrial Fibrillation,AFib,disease,Cardiovascular,,,,,,0.512,I72.0,,,Diagnostic de Medical condition characterized by atrial fibrillation requiring medical management. Medical condition characterized by atrial fibrillation requiring medical management.
Atrial Fibrillation,AFib,disease,Cardiovascular,,,,,,0.512,I72.0,,,La maladie Medical condition characterized by atrial fibrillation requiring medical management. est Medical condition characterized by atrial fibrillation requiring medical management.
Atrial Fibrillation,AFib,disease,Cardiovascular,,,,,,0.64,I72.0,,,Medical condition characterized by atrial fibrillation requiring medical management. Système cardiovasculaire
Atrial Fibrillation,AFib,disease,Cardiovascular,,,,,,0.64,I72.0,,,Medical condition characterized by atrial fibrillation requiring medical management. Cœur et vaisseaux
Stroke,CVA,disease,Neurological,,,,,,0.89,I49.3,,,Common neurological disorder with significant impact on quality of life.
Stroke (variante),CVA_syn,disease,Neurological,,,,,,0.89,I49.3,,,Common neurological disorder with significant impact on quality of life.
Stroke,CVA,disease,Neurological,,,,,,0.7120000000000001,I49.3,,,Trouble médical: Common neurological disorder with significant impact on quality of life. Common neurological disorder with significant impact on quality of life.
Migraine,,disease,Neurological,,,,,,0.95,I20.7,,9937326.0,Health condition with specific diagnostic criteria and treatment protocols.
Migraine (variante),,disease,Neurological,,,,,,0.95,I20.7,,9937326.0,Health condition with specific diagnostic criteria and treatment protocols.
Migraine,,disease,Neurological,,,,,,0.76,I20.7,,9937326.0,Diagnostic de Health condition with specific diagnostic criteria and treatment protocols. Health condition with specific diagnostic criteria and treatment protocols.
Irritable Bowel Syndrome,IBS,disease,Gastrointestinal,,,,,,0.22,I70.8,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Irritable Bowel Syndrome (variante),IBS_syn,disease,Gastrointestinal,,,,,,0.22,I70.8,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Irritable Bowel Syndrome,IBS,disease,Gastrointestinal,,,,,,0.17600000000000002,I70.8,,,"Condition de santé: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication. Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Inflammatory Bowel Disease,IBD,disease,Gastrointestinal,,,,,,0.89,I64.3,,4374754.0,Health condition with specific diagnostic criteria and treatment protocols.
Inflammatory Bowel Disease (variante),IBD_syn,disease,Gastrointestinal,,,,,,0.89,I64.3,,4374754.0,Health condition with specific diagnostic criteria and treatment protocols.
Inflammatory Bowel Disease,IBD,disease,Gastrointestinal,,,,,,0.7120000000000001,I64.3,,4374754.0,La maladie Health condition with specific diagnostic criteria and treatment protocols. est Health condition with specific diagnostic criteria and treatment protocols.
Inflammatory Bowel Disease,IBD,disease,Gastrointestinal,,,,,,0.7120000000000001,I64.3,,4374754.0,Diagnostic de Health condition with specific diagnostic criteria and treatment protocols. Health condition with specific diagnostic criteria and treatment protocols.
Gastroesophageal Reflux Disease,GERD,disease,Gastrointestinal,,,,,,0.46,I95.5,,9683481.0,Common gastrointestinal disorder with significant impact on quality of life.
Gastroesophageal Reflux Disease (variante),GERD_syn,disease,Gastrointestinal,,,,,,0.46,I95.5,,9683481.0,Common gastrointestinal disorder with significant impact on quality of life.
Gastroesophageal Reflux Disease,GERD,disease,Gastrointestinal,,,,,,0.36800000000000005,I95.5,,9683481.0,Diagnostic de Common gastrointestinal disorder with significant impact on quality of life. Common gastrointestinal disorder with significant impact on quality of life.
Gastroesophageal Reflux Disease,GERD,disease,Gastrointestinal,,,,,,0.36800000000000005,I95.5,,9683481.0,La maladie Common gastrointestinal disorder with significant impact on quality of life. est Common gastrointestinal disorder with significant impact on quality of life.
Chronic Kidney Disease,CKD,disease,Renal,,,,,,0.21,I38.1,,4860684.0,Pathological condition requiring ongoing monitoring and treatment.
Chronic Kidney Disease (variante),CKD_syn,disease,Renal,,,,,,0.21,I38.1,,4860684.0,Pathological condition requiring ongoing monitoring and treatment.
Chronic Kidney Disease,CKD,disease,Renal,,,,,,0.168,I38.1,,4860684.0,Condition de santé: Pathological condition requiring ongoing monitoring and treatment. Pathological condition requiring ongoing monitoring and treatment.
Chronic Kidney Disease,CKD,disease,Renal,,,,,,0.168,I38.1,,4860684.0,Trouble médical: Pathological condition requiring ongoing monitoring and treatment. Pathological condition requiring ongoing monitoring and treatment.
Urinary Tract Infection,UTI,disease,Infectious,,,,,,0.3,I19.0,,,Health condition with specific diagnostic criteria and treatment protocols.
Urinary Tract Infection (variante),UTI_syn,disease,Infectious,,,,,,0.3,I19.0,,,Health condition with specific diagnostic criteria and treatment protocols.
Urinary Tract Infection,UTI,disease,Infectious,,,,,,0.24,I19.0,,,Condition de santé: Health condition with specific diagnostic criteria and treatment protocols. Health condition with specific diagnostic criteria and treatment protocols.
Urinary Tract Infection,UTI,disease,Infectious,,,,,,0.24,I19.0,,,Pathologie: Health condition with specific diagnostic criteria and treatment protocols. Health condition with specific diagnostic criteria and treatment protocols.
Complete Blood Count,CBC,procedure,Diagnostic,,,,,,0.87,,19287.0,5672073.0,Medical diagnostic procedure performed for diagnosis or treatment.
Complete Blood Count (variante),CBC_syn,procedure,Diagnostic,,,,,,0.87,,19287.0,5672073.0,Medical diagnostic procedure performed for diagnosis or treatment.
Complete Blood Count,CBC,procedure,Diagnostic,,,,,,0.6960000000000001,,19287.0,5672073.0,Medical diagnostic procedure performed for diagnosis or treatment. -  Medical diagnostic procedure performed for diagnosis or treatment.
Computed Tomography Scan,CT,procedure,Diagnostic,,,,,,0.29,,27342.0,8930103.0,Healthcare procedure performed by trained medical professionals.
Computed Tomography Scan (variante),CT_syn,procedure,Diagnostic,,,,,,0.29,,27342.0,8930103.0,Healthcare procedure performed by trained medical professionals.
Computed Tomography Scan,CT,procedure,Diagnostic,,,,,,0.23199999999999998,,27342.0,8930103.0,Healthcare procedure performed by trained medical professionals. -  Healthcare procedure performed by trained medical professionals.
Magnetic Resonance Imaging,MRI,procedure,Diagnostic,,,,,,0.81,,63354.0,,Clinical intervention used to assess or treat medical conditions.
Magnetic Resonance Imaging (variante),MRI_syn,procedure,Diagnostic,,,,,,0.81,,63354.0,,Clinical intervention used to assess or treat medical conditions.
Magnetic Resonance Imaging,MRI,procedure,Diagnostic,,,,,,0.6480000000000001,,63354.0,,Clinical intervention used to assess or treat medical conditions. -  Clinical intervention used to assess or treat medical conditions.
Electrocardiogram,ECG,procedure,Diagnostic,,,,,,0.69,,56438.0,8835373.0,Medical diagnostic procedure performed for diagnosis or treatment.
Electrocardiogram (variante),ECG_syn,procedure,Diagnostic,,,,,,0.69,,56438.0,8835373.0,Medical diagnostic procedure performed for diagnosis or treatment.
Electrocardiogram,ECG,procedure,Diagnostic,,,,,,0.5519999999999999,,56438.0,8835373.0,Medical diagnostic procedure performed for diagnosis or treatment. -  Medical diagnostic procedure performed for diagnosis or treatment.
Colonoscopy,,procedure,Diagnostic,,,,,,0.71,,94696.0,,Medical diagnostic procedure performed for diagnosis or treatment.
Colonoscopy (variante),,procedure,Diagnostic,,,,,,0.71,,94696.0,,Medical diagnostic procedure performed for diagnosis or treatment.
Colonoscopy,,procedure,Diagnostic,,,,,,0.568,,94696.0,,Medical diagnostic procedure performed for diagnosis or treatment. -  Medical diagnostic procedure performed for diagnosis or treatment.
Endoscopy,,procedure,Diagnostic,,,,,,0.76,,24322.0,,Healthcare procedure performed by trained medical professionals.
Endoscopy (variante),,procedure,Diagnostic,,,,,,0.76,,24322.0,,Healthcare procedure performed by trained medical professionals.
Endoscopy,,procedure,Diagnostic,,,,,,0.6080000000000001,,24322.0,,Healthcare procedure performed by trained medical professionals. -  Healthcare procedure performed by trained medical professionals.
Coronary Angiography,Cath,procedure,Diagnostic,,,,,,0.58,,28373.0,5673212.0,Clinical intervention used to assess or treat medical conditions.
Coronary Angiography (variante),Cath_syn,procedure,Diagnostic,,,,,,0.58,,28373.0,5673212.0,Clinical intervention used to assess or treat medical conditions.
Coronary Angiography,Cath,procedure,Diagnostic,,,,,,0.46399999999999997,,28373.0,5673212.0,Clinical intervention used to assess or treat medical conditions. -  Clinical intervention used to assess or treat medical conditions.
Biopsy,,procedure,Diagnostic,,,,,,0.32,,19880.0,2642635.0,Healthcare procedure performed by trained medical professionals.
Biopsy (variante),,procedure,Diagnostic,,,,,,0.32,,19880.0,2642635.0,Healthcare procedure performed by trained medical professionals.
Biopsy,,procedure,Diagnostic,,,,,,0.256,,19880.0,2642635.0,Healthcare procedure performed by trained medical professionals. -  Healthcare procedure performed by trained medical professionals.
Physical Therapy,PT,procedure,Rehabilitative,,,,,,0.69,,80855.0,2564689.0,Medical rehabilitative procedure performed for diagnosis or treatment.
Physical Therapy (variante),PT_syn,procedure,Rehabilitative,,,,,,0.69,,80855.0,2564689.0,Medical rehabilitative procedure performed for diagnosis or treatment.
Physical Therapy,PT,procedure,Rehabilitative,,,,,,0.5519999999999999,,80855.0,2564689.0,Medical rehabilitative procedure performed for diagnosis or treatment. -  Medical rehabilitative procedure performed for diagnosis or treatment.
Chemotherapy,Chemo,procedure,Therapeutic,,,,,,0.25,,73653.0,7728339.0,Clinical intervention used to assess or treat medical conditions.
Chemotherapy (variante),Chemo_syn,procedure,Therapeutic,,,,,,0.25,,73653.0,7728339.0,Clinical intervention used to assess or treat medical conditions.
Chemotherapy,Chemo,procedure,Therapeutic,,,,,,0.2,,73653.0,7728339.0,Clinical intervention used to assess or treat medical conditions. -  Clinical intervention used to assess or treat medical conditions.
Radiation Therapy,RT,procedure,Therapeutic,,,,,,0.25,,10282.0,5449368.0,Medical therapeutic procedure performed for diagnosis or treatment.
Radiation Therapy (variante),RT_syn,procedure,Therapeutic,,,,,,0.25,,10282.0,5449368.0,Medical therapeutic procedure performed for diagnosis or treatment.
Radiation Therapy,RT,procedure,Therapeutic,,,,,,0.2,,10282.0,5449368.0,Medical therapeutic procedure performed for diagnosis or treatment. -  Medical therapeutic procedure performed for diagnosis or treatment.
Vaccination,,procedure,Preventive,,,,,,0.36,,82845.0,9164991.0,Healthcare procedure performed by trained medical professionals.
Vaccination (variante),,procedure,Preventive,,,,,,0.36,,82845.0,9164991.0,Healthcare procedure performed by trained medical professionals.
Vaccination,,procedure,Preventive,,,,,,0.288,,82845.0,9164991.0,Healthcare procedure performed by trained medical professionals. -  Healthcare procedure performed by trained medical professionals.
Appendectomy,,procedure,Surgical,,,,,,0.27,,38534.0,2022698.0,Clinical intervention used to assess or treat medical conditions.
Appendectomy (variante),,procedure,Surgical,,,,,,0.27,,38534.0,2022698.0,Clinical intervention used to assess or treat medical conditions.
Appendectomy,,procedure,Surgical,,,,,,0.21600000000000003,,38534.0,2022698.0,Clinical intervention used to assess or treat medical conditions. -  Clinical intervention used to assess or treat medical conditions.
Cholecystectomy,,procedure,Surgical,,,,,,0.15,,86569.0,9910817.0,Standard medical surgical technique with established protocols.
Cholecystectomy (variante),,procedure,Surgical,,,,,,0.15,,86569.0,9910817.0,Standard medical surgical technique with established protocols.
Cholecystectomy,,procedure,Surgical,,,,,,0.12,,86569.0,9910817.0,Standard medical surgical technique with established protocols. -  Standard medical surgical technique with established protocols.
Hernia Repair,,procedure,Surgical,,,,,,0.15,,76562.0,,Clinical intervention used to assess or treat medical conditions.
Hernia Repair (variante),,procedure,Surgical,,,,,,0.15,,76562.0,,Clinical intervention used to assess or treat medical conditions.
Hernia Repair,,procedure,Surgical,,,,,,0.12,,76562.0,,Clinical intervention used to assess or treat medical conditions. -  Clinical intervention used to assess or treat medical conditions.
Cardiac Catheterization,,procedure,Diagnostic,,,,,,0.16,,18907.0,4946066.0,Clinical intervention used to assess or treat medical conditions.
Cardiac Catheterization (variante),,procedure,Diagnostic,,,,,,0.16,,18907.0,4946066.0,Clinical intervention used to assess or treat medical conditions.
Cardiac Catheterization,,procedure,Diagnostic,,,,,,0.128,,18907.0,4946066.0,Clinical intervention used to assess or treat medical conditions. -  Clinical intervention used to assess or treat medical conditions.
Dialysis,,procedure,Therapeutic,,,,,,0.21,,84668.0,,Healthcare procedure performed by trained medical professionals.
Dialysis (variante),,procedure,Therapeutic,,,,,,0.21,,84668.0,,Healthcare procedure performed by trained medical professionals.
Dialysis,,procedure,Therapeutic,,,,,,0.168,,84668.0,,Healthcare procedure performed by trained medical professionals. -  Healthcare procedure performed by trained medical professionals.
Blood Transfusion,,procedure,Therapeutic,,,,,,0.14,,20745.0,9770838.0,Diagnostic or therapeutic medical intervention.
Blood Transfusion (variante),,procedure,Therapeutic,,,,,,0.14,,20745.0,9770838.0,Diagnostic or therapeutic medical intervention.
Blood Transfusion,,procedure,Therapeutic,,,,,,0.11200000000000002,,20745.0,9770838.0,Diagnostic or therapeutic medical intervention. -  Diagnostic or therapeutic medical intervention.
Bronchoscopy,,procedure,Diagnostic,,,,,,0.94,,36772.0,6271130.0,Standard medical diagnostic technique with established protocols.
Bronchoscopy (variante),,procedure,Diagnostic,,,,,,0.94,,36772.0,6271130.0,Standard medical diagnostic technique with established protocols.
Bronchoscopy,,procedure,Diagnostic,,,,,,0.752,,36772.0,6271130.0,Standard medical diagnostic technique with established protocols. -  Standard medical diagnostic technique with established protocols.
Lumbar Puncture,LP,procedure,Diagnostic,,,,,,0.34,,27154.0,6033115.0,Clinical intervention used to assess or treat medical conditions.
Lumbar Puncture (variante),LP_syn,procedure,Diagnostic,,,,,,0.34,,27154.0,6033115.0,Clinical intervention used to assess or treat medical conditions.
Lumbar Puncture,LP,procedure,Diagnostic,,,,,,0.272,,27154.0,6033115.0,Clinical intervention used to assess or treat medical conditions. -  Clinical intervention used to assess or treat medical conditions.
Metformin,,medication,Antidiabetic,,,,,,0.38,,,2217071.0,Medication with established efficacy and safety profile.
Metformin (variante),,medication,Antidiabetic,,,,,,0.38,,,2217071.0,Medication with established efficacy and safety profile.
Metformin,,medication,Antidiabetic,,,,,,0.30400000000000005,,,2217071.0,Médicament Medication with established efficacy and safety profile. prescrit pour Medication with established efficacy and safety profile.
Metformin,,medication,Antidiabetic,,,,,,0.30400000000000005,,,2217071.0,Thérapie médicamenteuse: Medication with established efficacy and safety profile. Medication with established efficacy and safety profile.
Insulin,,medication,Antidiabetic,,,,,,0.51,,,2677407.0,Pharmaceutical drug used to treat antidiabetic conditions.
Insulin (variante),,medication,Antidiabetic,,,,,,0.51,,,2677407.0,Pharmaceutical drug used to treat antidiabetic conditions.
Insulin,,medication,Antidiabetic,,,,,,0.40800000000000003,,,2677407.0,Thérapie médicamenteuse: Pharmaceutical drug used to treat antidiabetic conditions. Pharmaceutical drug used to treat antidiabetic conditions.
Insulin,,medication,Antidiabetic,,,,,,0.40800000000000003,,,2677407.0,Traitement par Pharmaceutical drug used to treat antidiabetic conditions. Pharmaceutical drug used to treat antidiabetic conditions.
Lisinopril,,medication,Antihypertensive,,,,,,0.58,,,3222252.0,Pharmaceutical drug used to treat antihypertensive conditions.
Lisinopril (variante),,medication,Antihypertensive,,,,,,0.58,,,3222252.0,Pharmaceutical drug used to treat antihypertensive conditions.
Lisinopril,,medication,Antihypertensive,,,,,,0.46399999999999997,,,3222252.0,Prescription de Pharmaceutical drug used to treat antihypertensive conditions. Pharmaceutical drug used to treat antihypertensive conditions.
Lisinopril,,medication,Antihypertensive,,,,,,0.46399999999999997,,,3222252.0,Posologie du Pharmaceutical drug used to treat antihypertensive conditions. Pharmaceutical drug used to treat antihypertensive conditions.
Amlodipine,,medication,Antihypertensive,,,,,,0.89,,,7199635.0,Drug therapy for managing symptoms and progression of related conditions.
Amlodipine (variante),,medication,Antihypertensive,,,,,,0.89,,,7199635.0,Drug therapy for managing symptoms and progression of related conditions.
Amlodipine,,medication,Antihypertensive,,,,,,0.7120000000000001,,,7199635.0,Posologie du Drug therapy for managing symptoms and progression of related conditions. Drug therapy for managing symptoms and progression of related conditions.
Amlodipine,,medication,Antihypertensive,,,,,,0.7120000000000001,,,7199635.0,Prescription de Drug therapy for managing symptoms and progression of related conditions. Drug therapy for managing symptoms and progression of related conditions.
Atorvastatin,,medication,Antilipidemic,,,,,,0.24,,,6075395.0,Drug therapy for managing symptoms and progression of related conditions.
Atorvastatin (variante),,medication,Antilipidemic,,,,,,0.24,,,6075395.0,Drug therapy for managing symptoms and progression of related conditions.
Atorvastatin,,medication,Antilipidemic,,,,,,0.192,,,6075395.0,Prescription de Drug therapy for managing symptoms and progression of related conditions. Drug therapy for managing symptoms and progression of related conditions.
Atorvastatin,,medication,Antilipidemic,,,,,,0.192,,,6075395.0,Médicament Drug therapy for managing symptoms and progression of related conditions. prescrit pour Drug therapy for managing symptoms and progression of related conditions.
Aspirin,ASA,medication,Antiplatelet,,,,,,0.99,,,9874152.0,Pharmacological treatment option in clinical practice.
Aspirin (variante),ASA_syn,medication,Antiplatelet,,,,,,0.99,,,9874152.0,Pharmacological treatment option in clinical practice.
Aspirin,ASA,medication,Antiplatelet,,,,,,0.792,,,9874152.0,Médicament Pharmacological treatment option in clinical practice. prescrit pour Pharmacological treatment option in clinical practice.
Warfarin,,medication,Anticoagulant,,,,,,0.7,,,2737893.0,Pharmaceutical drug used to treat anticoagulant conditions.
Warfarin (variante),,medication,Anticoagulant,,,,,,0.7,,,2737893.0,Pharmaceutical drug used to treat anticoagulant conditions.
Warfarin,,medication,Anticoagulant,,,,,,0.5599999999999999,,,2737893.0,Prescription de Pharmaceutical drug used to treat anticoagulant conditions. Pharmaceutical drug used to treat anticoagulant conditions.
Warfarin,,medication,Anticoagulant,,,,,,0.5599999999999999,,,2737893.0,Thérapie médicamenteuse: Pharmaceutical drug used to treat anticoagulant conditions. Pharmaceutical drug used to treat anticoagulant conditions.
Levothyroxine,,medication,Endocrine,,,,,,0.34,,,3607983.0,Commonly prescribed medication with specific therapeutic indications.
Levothyroxine (variante),,medication,Endocrine,,,,,,0.34,,,3607983.0,Commonly prescribed medication with specific therapeutic indications.
Levothyroxine,,medication,Endocrine,,,,,,0.272,,,3607983.0,Thérapie médicamenteuse: Commonly prescribed medication with specific therapeutic indications. Commonly prescribed medication with specific therapeutic indications.
Levothyroxine,,medication,Endocrine,,,,,,0.272,,,3607983.0,Médicament Commonly prescribed medication with specific therapeutic indications. prescrit pour Commonly prescribed medication with specific therapeutic indications.
Albuterol,,medication,Bronchodilator,,,,,,0.35,,,,Drug therapy for managing symptoms and progression of related conditions.
Albuterol (variante),,medication,Bronchodilator,,,,,,0.35,,,,Drug therapy for managing symptoms and progression of related conditions.
Albuterol,,medication,Bronchodilator,,,,,,0.27999999999999997,,,,Thérapie médicamenteuse: Drug therapy for managing symptoms and progression of related conditions. Drug therapy for managing symptoms and progression of related conditions.
Albuterol,,medication,Bronchodilator,,,,,,0.27999999999999997,,,,Médicament Drug therapy for managing symptoms and progression of related conditions. prescrit pour Drug therapy for managing symptoms and progression of related conditions.
Ibuprofen,,medication,NSAID,,,,,,0.28,,,5428914.0,Drug therapy for managing symptoms and progression of related conditions.
