question,reponse,terme_original,type,categorie,type_question,necessite_avertissement
"Mon analyse montre Créatinine = 103.66 μmol/L, qu'en penses-tu ?","Une valeur de 103.66 μmol/L pour Créatinine se situe dans la plage normale (62.0-106.0 μmol/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Créatinine,analyse_labo,Biochimie,interpretation,True
"Créatinine à 73.66 μmol/L, est-ce inquiétant ?","Une valeur de 73.66 μmol/L pour Créatinine se situe dans la plage normale (62.0-106.0 μmol/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Créatinine,analyse_labo,Biochimie,interpretation,True
Donne-moi la définition de Urée sanguine,"Urée sanguine (BUN) est une analyse de laboratoire en Biochimie. Mesure du/de urée sanguine dans le sang, utilisée pour diagnostiquer et surveiller diverses affections. Les valeurs normales se situent entre 2.5 et 7.1 mmol/L.",Urée sanguine,analyse_labo,Biochimie,definition,False
"Dans le contexte médical, que signifie Urée sanguine ?","Urée sanguine (BUN) est une analyse de laboratoire en Biochimie. Mesure du/de urée sanguine dans le sang, utilisée pour diagnostiquer et surveiller diverses affections. Les valeurs normales se situent entre 2.5 et 7.1 mmol/L.",Urée sanguine,analyse_labo,Biochimie,definition,False
Qu'entend-on par Urée sanguine ?,"Urée sanguine (BUN) est une analyse de laboratoire en Biochimie. Mesure du/de urée sanguine dans le sang, utilisée pour diagnostiquer et surveiller diverses affections. Les valeurs normales se situent entre 2.5 et 7.1 mmol/L.",Urée sanguine,analyse_labo,Biochimie,definition,False
Explique BUN,BUN signifie Urée sanguine. C'est un terme utilisé en Biochimie.,Urée sanguine,analyse_labo,Biochimie,abbreviation,False
Que veut dire BUN en médecine ?,BUN signifie Urée sanguine. C'est un terme utilisé en Biochimie.,Urée sanguine,analyse_labo,Biochimie,abbreviation,False
Entre quelles valeurs Urée sanguine doit se situer ?,"Les valeurs normales de Urée sanguine se situent entre 2.5 et 7.1 mmol/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Urée sanguine,analyse_labo,Biochimie,valeurs_normales,True
Mon Urée sanguine est à combien normalement ?,"Les valeurs normales de Urée sanguine se situent entre 2.5 et 7.1 mmol/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Urée sanguine,analyse_labo,Biochimie,valeurs_normales,True
Valeurs alarmantes de Urée sanguine ?,"Pour Urée sanguine, les valeurs critiques sont : au-dessus de 35.7 mmol/L (seuil haut critique). Ces valeurs nécessitent une attention médicale urgente.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Urée sanguine,analyse_labo,Biochimie,valeurs_critiques,True
"Urée sanguine à 6.64 mmol/L, est-ce inquiétant ?","Une valeur de 6.64 mmol/L pour Urée sanguine se situe dans la plage normale (2.5-7.1 mmol/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Urée sanguine,analyse_labo,Biochimie,interpretation,True
"Mon analyse montre Urée sanguine = 3.06 mmol/L, qu'en penses-tu ?","Une valeur de 3.06 mmol/L pour Urée sanguine se situe dans la plage normale (2.5-7.1 mmol/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Urée sanguine,analyse_labo,Biochimie,interpretation,True
Définis Sodium,Sodium (Na) est une analyse de laboratoire en Biochimie. Analyse de laboratoire clinique mesurant les taux de sodium pour évaluer l'état de santé. Les valeurs normales se situent entre 135.0 et 145.0 mmol/L.,Sodium,analyse_labo,Biochimie,definition,False
Aide-moi à comprendre Sodium,Sodium (Na) est une analyse de laboratoire en Biochimie. Analyse de laboratoire clinique mesurant les taux de sodium pour évaluer l'état de santé. Les valeurs normales se situent entre 135.0 et 145.0 mmol/L.,Sodium,analyse_labo,Biochimie,definition,False
Qu'est-ce que Sodium ?,Sodium (Na) est une analyse de laboratoire en Biochimie. Analyse de laboratoire clinique mesurant les taux de sodium pour évaluer l'état de santé. Les valeurs normales se situent entre 135.0 et 145.0 mmol/L.,Sodium,analyse_labo,Biochimie,definition,False
"J'ai vu Na sur mes analyses, c'est quoi ?",Na signifie Sodium. C'est un terme utilisé en Biochimie.,Sodium,analyse_labo,Biochimie,abbreviation,False
Qu'est-ce que Na signifie ?,Na signifie Sodium. C'est un terme utilisé en Biochimie.,Sodium,analyse_labo,Biochimie,abbreviation,False
Quels sont les taux normaux de Sodium ?,"Les valeurs normales de Sodium se situent entre 135.0 et 145.0 mmol/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Sodium,analyse_labo,Biochimie,valeurs_normales,True
Quel est le taux normal de Sodium ?,"Les valeurs normales de Sodium se situent entre 135.0 et 145.0 mmol/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Sodium,analyse_labo,Biochimie,valeurs_normales,True
À partir de quand Sodium devient dangereux ?,"Pour Sodium, les valeurs critiques sont : en dessous de 120.0 mmol/L (seuil bas critique) et au-dessus de 160.0 mmol/L (seuil haut critique). Ces valeurs nécessitent une attention médicale urgente.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Sodium,analyse_labo,Biochimie,valeurs_critiques,True
"J'ai Sodium à 135.71 mmol/L, c'est normal ?","Une valeur de 135.71 mmol/L pour Sodium se situe dans la plage normale (135.0-145.0 mmol/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Sodium,analyse_labo,Biochimie,interpretation,True
Que signifie Potassium ?,Potassium (K) est une analyse de laboratoire en Biochimie. Marqueur diagnostique important pour évaluer la fonction et les troubles de biochimie. Les valeurs normales se situent entre 3.5 et 5.0 mmol/L.,Potassium,analyse_labo,Biochimie,definition,False
Définis Potassium,Potassium (K) est une analyse de laboratoire en Biochimie. Marqueur diagnostique important pour évaluer la fonction et les troubles de biochimie. Les valeurs normales se situent entre 3.5 et 5.0 mmol/L.,Potassium,analyse_labo,Biochimie,definition,False
"Je ne connais pas Potassium, peux-tu m'aider ?",Potassium (K) est une analyse de laboratoire en Biochimie. Marqueur diagnostique important pour évaluer la fonction et les troubles de biochimie. Les valeurs normales se situent entre 3.5 et 5.0 mmol/L.,Potassium,analyse_labo,Biochimie,definition,False
Que signifie l'abréviation K ?,K signifie Potassium. C'est un terme utilisé en Biochimie.,Potassium,analyse_labo,Biochimie,abbreviation,False
K veut dire quoi ?,K signifie Potassium. C'est un terme utilisé en Biochimie.,Potassium,analyse_labo,Biochimie,abbreviation,False
Quelle est la plage normale pour Potassium ?,"Les valeurs normales de Potassium se situent entre 3.5 et 5.0 mmol/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Potassium,analyse_labo,Biochimie,valeurs_normales,True
Valeurs standards de Potassium ?,"Les valeurs normales de Potassium se situent entre 3.5 et 5.0 mmol/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Potassium,analyse_labo,Biochimie,valeurs_normales,True
À partir de quand Potassium devient dangereux ?,"Pour Potassium, les valeurs critiques sont : en dessous de 2.5 mmol/L (seuil bas critique) et au-dessus de 6.5 mmol/L (seuil haut critique). Ces valeurs nécessitent une attention médicale urgente.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Potassium,analyse_labo,Biochimie,valeurs_critiques,True
"Mon analyse montre Potassium = 4.5 mmol/L, qu'en penses-tu ?","Une valeur de 4.5 mmol/L pour Potassium se situe dans la plage normale (3.5-5.0 mmol/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Potassium,analyse_labo,Biochimie,interpretation,True
"Potassium à 4.31 mmol/L, est-ce inquiétant ?","Une valeur de 4.31 mmol/L pour Potassium se situe dans la plage normale (3.5-5.0 mmol/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Potassium,analyse_labo,Biochimie,interpretation,True
Que signifie Alanine aminotransférase ?,Alanine aminotransférase (ALT) est une analyse de laboratoire en Biochimie. Analyse quantitative du/de alanine aminotransférase fournissant des informations sur les processus physiologiques. Les valeurs normales se situent entre 7.0 et 56.0 U/L.,Alanine aminotransférase,analyse_labo,Biochimie,definition,False
"En médecine, qu'est-ce que Alanine aminotransférase ?",Alanine aminotransférase (ALT) est une analyse de laboratoire en Biochimie. Analyse quantitative du/de alanine aminotransférase fournissant des informations sur les processus physiologiques. Les valeurs normales se situent entre 7.0 et 56.0 U/L.,Alanine aminotransférase,analyse_labo,Biochimie,definition,False
Pourrais-tu expliquer Alanine aminotransférase ?,Alanine aminotransférase (ALT) est une analyse de laboratoire en Biochimie. Analyse quantitative du/de alanine aminotransférase fournissant des informations sur les processus physiologiques. Les valeurs normales se situent entre 7.0 et 56.0 U/L.,Alanine aminotransférase,analyse_labo,Biochimie,definition,False
Que veut dire ALT en médecine ?,ALT signifie Alanine aminotransférase. C'est un terme utilisé en Biochimie.,Alanine aminotransférase,analyse_labo,Biochimie,abbreviation,False
Quelle est la signification de ALT ?,ALT signifie Alanine aminotransférase. C'est un terme utilisé en Biochimie.,Alanine aminotransférase,analyse_labo,Biochimie,abbreviation,False
Quelle est la plage normale pour Alanine aminotransférase ?,"Les valeurs normales de Alanine aminotransférase se situent entre 7.0 et 56.0 U/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Alanine aminotransférase,analyse_labo,Biochimie,valeurs_normales,True
Mon Alanine aminotransférase est à combien normalement ?,"Les valeurs normales de Alanine aminotransférase se situent entre 7.0 et 56.0 U/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Alanine aminotransférase,analyse_labo,Biochimie,valeurs_normales,True
À quel niveau Alanine aminotransférase devient préoccupant ?,"Pour Alanine aminotransférase, les valeurs critiques sont : au-dessus de 300.0 U/L (seuil haut critique). Ces valeurs nécessitent une attention médicale urgente.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Alanine aminotransférase,analyse_labo,Biochimie,valeurs_critiques,True
"Alanine aminotransférase à 24.36 U/L, est-ce inquiétant ?","Une valeur de 24.36 U/L pour Alanine aminotransférase se situe dans la plage normale (7.0-56.0 U/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Alanine aminotransférase,analyse_labo,Biochimie,interpretation,True
"J'ai Alanine aminotransférase à 29.88 U/L, c'est normal ?","Une valeur de 29.88 U/L pour Alanine aminotransférase se situe dans la plage normale (7.0-56.0 U/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Alanine aminotransférase,analyse_labo,Biochimie,interpretation,True
C'est quoi Aspartate aminotransférase ?,Aspartate aminotransférase (AST) est une analyse de laboratoire en Biochimie. Analyse de laboratoire clinique mesurant les taux de aspartate aminotransférase pour évaluer l'état de santé. Les valeurs normales se situent entre 10.0 et 40.0 U/L.,Aspartate aminotransférase,analyse_labo,Biochimie,definition,False
Peux-tu m'expliquer ce qu'est Aspartate aminotransférase ?,Aspartate aminotransférase (AST) est une analyse de laboratoire en Biochimie. Analyse de laboratoire clinique mesurant les taux de aspartate aminotransférase pour évaluer l'état de santé. Les valeurs normales se situent entre 10.0 et 40.0 U/L.,Aspartate aminotransférase,analyse_labo,Biochimie,definition,False
Donne-moi la définition de Aspartate aminotransférase,Aspartate aminotransférase (AST) est une analyse de laboratoire en Biochimie. Analyse de laboratoire clinique mesurant les taux de aspartate aminotransférase pour évaluer l'état de santé. Les valeurs normales se situent entre 10.0 et 40.0 U/L.,Aspartate aminotransférase,analyse_labo,Biochimie,definition,False
AST veut dire quoi ?,AST signifie Aspartate aminotransférase. C'est un terme utilisé en Biochimie.,Aspartate aminotransférase,analyse_labo,Biochimie,abbreviation,False
C'est quoi AST ?,AST signifie Aspartate aminotransférase. C'est un terme utilisé en Biochimie.,Aspartate aminotransférase,analyse_labo,Biochimie,abbreviation,False
Quels sont les taux normaux de Aspartate aminotransférase ?,"Les valeurs normales de Aspartate aminotransférase se situent entre 10.0 et 40.0 U/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Aspartate aminotransférase,analyse_labo,Biochimie,valeurs_normales,True
Mon Aspartate aminotransférase est à combien normalement ?,"Les valeurs normales de Aspartate aminotransférase se situent entre 10.0 et 40.0 U/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Aspartate aminotransférase,analyse_labo,Biochimie,valeurs_normales,True
À partir de quand Aspartate aminotransférase devient dangereux ?,"Pour Aspartate aminotransférase, les valeurs critiques sont : au-dessus de 300.0 U/L (seuil haut critique). Ces valeurs nécessitent une attention médicale urgente.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Aspartate aminotransférase,analyse_labo,Biochimie,valeurs_critiques,True
"Mon analyse montre Aspartate aminotransférase = 14.21 U/L, qu'en penses-tu ?","Une valeur de 14.21 U/L pour Aspartate aminotransférase se situe dans la plage normale (10.0-40.0 U/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Aspartate aminotransférase,analyse_labo,Biochimie,interpretation,True
"Mon analyse montre Aspartate aminotransférase = 18.36 U/L, qu'en penses-tu ?","Une valeur de 18.36 U/L pour Aspartate aminotransférase se situe dans la plage normale (10.0-40.0 U/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Aspartate aminotransférase,analyse_labo,Biochimie,interpretation,True
Définis Phosphatase alcaline,Phosphatase alcaline (PAL) est une analyse de laboratoire en Biochimie. Analyse quantitative du/de phosphatase alcaline fournissant des informations sur les processus physiologiques. Les valeurs normales se situent entre 44.0 et 147.0 U/L.,Phosphatase alcaline,analyse_labo,Biochimie,definition,False
"Je ne connais pas Phosphatase alcaline, peux-tu m'aider ?",Phosphatase alcaline (PAL) est une analyse de laboratoire en Biochimie. Analyse quantitative du/de phosphatase alcaline fournissant des informations sur les processus physiologiques. Les valeurs normales se situent entre 44.0 et 147.0 U/L.,Phosphatase alcaline,analyse_labo,Biochimie,definition,False
Pourrais-tu expliquer Phosphatase alcaline ?,Phosphatase alcaline (PAL) est une analyse de laboratoire en Biochimie. Analyse quantitative du/de phosphatase alcaline fournissant des informations sur les processus physiologiques. Les valeurs normales se situent entre 44.0 et 147.0 U/L.,Phosphatase alcaline,analyse_labo,Biochimie,definition,False
Qu'est-ce que PAL signifie ?,PAL signifie Phosphatase alcaline. C'est un terme utilisé en Biochimie.,Phosphatase alcaline,analyse_labo,Biochimie,abbreviation,False
C'est quoi PAL ?,PAL signifie Phosphatase alcaline. C'est un terme utilisé en Biochimie.,Phosphatase alcaline,analyse_labo,Biochimie,abbreviation,False
Quelles sont les valeurs normales de Phosphatase alcaline ?,"Les valeurs normales de Phosphatase alcaline se situent entre 44.0 et 147.0 U/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Phosphatase alcaline,analyse_labo,Biochimie,valeurs_normales,True
Entre quelles valeurs Phosphatase alcaline doit se situer ?,"Les valeurs normales de Phosphatase alcaline se situent entre 44.0 et 147.0 U/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Phosphatase alcaline,analyse_labo,Biochimie,valeurs_normales,True
Quand s'inquiéter pour Phosphatase alcaline ?,"Pour Phosphatase alcaline, les valeurs critiques sont : au-dessus de 500.0 U/L (seuil haut critique). Ces valeurs nécessitent une attention médicale urgente.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Phosphatase alcaline,analyse_labo,Biochimie,valeurs_critiques,True
"Mon analyse montre Phosphatase alcaline = 143.81 U/L, qu'en penses-tu ?","Une valeur de 143.81 U/L pour Phosphatase alcaline se situe dans la plage normale (44.0-147.0 U/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Phosphatase alcaline,analyse_labo,Biochimie,interpretation,True
Je voudrais comprendre ce qu'est Hypertension artérielle,"Hypertension artérielle (HTA) est une pathologie en Cardiovasculaire. Trouble de santé chronique affectant plusieurs systèmes, traité par changements de mode de vie et médicaments.",Hypertension artérielle,maladie,Cardiovasculaire,definition,False
"Hypertension artérielle, qu'est-ce que c'est exactement ?","Hypertension artérielle (HTA) est une pathologie en Cardiovasculaire. Trouble de santé chronique affectant plusieurs systèmes, traité par changements de mode de vie et médicaments.",Hypertension artérielle,maladie,Cardiovasculaire,definition,False
Que signifie Hypertension artérielle ?,"Hypertension artérielle (HTA) est une pathologie en Cardiovasculaire. Trouble de santé chronique affectant plusieurs systèmes, traité par changements de mode de vie et médicaments.",Hypertension artérielle,maladie,Cardiovasculaire,definition,False
Peux-tu m'expliquer HTA ?,HTA signifie Hypertension artérielle. C'est un terme utilisé en Cardiovasculaire.,Hypertension artérielle,maladie,Cardiovasculaire,abbreviation,False
Quelle est la signification de HTA ?,HTA signifie Hypertension artérielle. C'est un terme utilisé en Cardiovasculaire.,Hypertension artérielle,maladie,Cardiovasculaire,abbreviation,False
Manifestations de Hypertension artérielle ?,"Les symptômes de Hypertension artérielle peuvent varier selon les individus. Il est essentiel de consulter un professionnel de santé pour un diagnostic précis basé sur votre situation personnelle.

⚠️ Important : Seul un professionnel de santé qualifié peut établir un diagnostic. Cette information est fournie à titre éducatif uniquement.",Hypertension artérielle,maladie,Cardiovasculaire,symptomes,True
Quels sont les symptômes de Hypertension artérielle ?,"Les symptômes de Hypertension artérielle peuvent varier selon les individus. Il est essentiel de consulter un professionnel de santé pour un diagnostic précis basé sur votre situation personnelle.

⚠️ Important : Seul un professionnel de santé qualifié peut établir un diagnostic. Cette information est fournie à titre éducatif uniquement.",Hypertension artérielle,maladie,Cardiovasculaire,symptomes,True
Quel est le traitement pour Hypertension artérielle ?,"Le traitement de Hypertension artérielle doit être personnalisé selon chaque patient. Votre médecin déterminera la meilleure approche thérapeutique adaptée à votre situation.

⚠️ Important : Ne modifiez jamais votre traitement sans l'avis de votre médecin. Cette information est fournie à titre éducatif uniquement.",Hypertension artérielle,maladie,Cardiovasculaire,traitement,True
Origines de Hypertension artérielle ?,Les causes de Hypertension artérielle peuvent être multiples et varient d'une personne à l'autre. Une évaluation médicale permet d'identifier les facteurs spécifiques dans votre cas.,Hypertension artérielle,maladie,Cardiovasculaire,causes,False
Qu'est-ce que Diabète de type 2 ?,"Diabète de type 2 (DT2) est une pathologie en Endocrinologie. Trouble de santé chronique affectant plusieurs systèmes, traité par changements de mode de vie et médicaments.",Diabète de type 2,maladie,Endocrinologie,definition,False
Pourrais-tu expliquer Diabète de type 2 ?,"Diabète de type 2 (DT2) est une pathologie en Endocrinologie. Trouble de santé chronique affectant plusieurs systèmes, traité par changements de mode de vie et médicaments.",Diabète de type 2,maladie,Endocrinologie,definition,False
Explique-moi Diabète de type 2,"Diabète de type 2 (DT2) est une pathologie en Endocrinologie. Trouble de santé chronique affectant plusieurs systèmes, traité par changements de mode de vie et médicaments.",Diabète de type 2,maladie,Endocrinologie,definition,False
Peux-tu m'expliquer DT2 ?,DT2 signifie Diabète de type 2. C'est un terme utilisé en Endocrinologie.,Diabète de type 2,maladie,Endocrinologie,abbreviation,False
Explique DT2,DT2 signifie Diabète de type 2. C'est un terme utilisé en Endocrinologie.,Diabète de type 2,maladie,Endocrinologie,abbreviation,False
Manifestations de Diabète de type 2 ?,"Les symptômes de Diabète de type 2 peuvent varier selon les individus. Il est essentiel de consulter un professionnel de santé pour un diagnostic précis basé sur votre situation personnelle.

⚠️ Important : Seul un professionnel de santé qualifié peut établir un diagnostic. Cette information est fournie à titre éducatif uniquement.",Diabète de type 2,maladie,Endocrinologie,symptomes,True
Comment savoir si j'ai Diabète de type 2 ?,"Les symptômes de Diabète de type 2 peuvent varier selon les individus. Il est essentiel de consulter un professionnel de santé pour un diagnostic précis basé sur votre situation personnelle.

⚠️ Important : Seul un professionnel de santé qualifié peut établir un diagnostic. Cette information est fournie à titre éducatif uniquement.",Diabète de type 2,maladie,Endocrinologie,symptomes,True
Prise en charge de Diabète de type 2 ?,"Le traitement de Diabète de type 2 doit être personnalisé selon chaque patient. Votre médecin déterminera la meilleure approche thérapeutique adaptée à votre situation.

⚠️ Important : Ne modifiez jamais votre traitement sans l'avis de votre médecin. Cette information est fournie à titre éducatif uniquement.",Diabète de type 2,maladie,Endocrinologie,traitement,True
Facteurs de risque de Diabète de type 2 ?,Les causes de Diabète de type 2 peuvent être multiples et varient d'une personne à l'autre. Une évaluation médicale permet d'identifier les facteurs spécifiques dans votre cas.,Diabète de type 2,maladie,Endocrinologie,causes,False
"En médecine, qu'est-ce que Maladie coronarienne ?",Maladie coronarienne (MC) est une pathologie en Cardiovasculaire. Condition pathologique nécessitant une surveillance et un traitement continus.,Maladie coronarienne,maladie,Cardiovasculaire,definition,False
Explique-moi Maladie coronarienne,Maladie coronarienne (MC) est une pathologie en Cardiovasculaire. Condition pathologique nécessitant une surveillance et un traitement continus.,Maladie coronarienne,maladie,Cardiovasculaire,definition,False
C'est quoi Maladie coronarienne ?,Maladie coronarienne (MC) est une pathologie en Cardiovasculaire. Condition pathologique nécessitant une surveillance et un traitement continus.,Maladie coronarienne,maladie,Cardiovasculaire,definition,False
Explique MC,MC signifie Maladie coronarienne. C'est un terme utilisé en Cardiovasculaire.,Maladie coronarienne,maladie,Cardiovasculaire,abbreviation,False
Quelle est la signification de MC ?,MC signifie Maladie coronarienne. C'est un terme utilisé en Cardiovasculaire.,Maladie coronarienne,maladie,Cardiovasculaire,abbreviation,False
Quels sont les symptômes de Maladie coronarienne ?,"Les symptômes de Maladie coronarienne peuvent varier selon les individus. Il est essentiel de consulter un professionnel de santé pour un diagnostic précis basé sur votre situation personnelle.

⚠️ Important : Seul un professionnel de santé qualifié peut établir un diagnostic. Cette information est fournie à titre éducatif uniquement.",Maladie coronarienne,maladie,Cardiovasculaire,symptomes,True
Quels sont les signes de Maladie coronarienne ?,"Les symptômes de Maladie coronarienne peuvent varier selon les individus. Il est essentiel de consulter un professionnel de santé pour un diagnostic précis basé sur votre situation personnelle.

⚠️ Important : Seul un professionnel de santé qualifié peut établir un diagnostic. Cette information est fournie à titre éducatif uniquement.",Maladie coronarienne,maladie,Cardiovasculaire,symptomes,True
Prise en charge de Maladie coronarienne ?,"Le traitement de Maladie coronarienne doit être personnalisé selon chaque patient. Votre médecin déterminera la meilleure approche thérapeutique adaptée à votre situation.

⚠️ Important : Ne modifiez jamais votre traitement sans l'avis de votre médecin. Cette information est fournie à titre éducatif uniquement.",Maladie coronarienne,maladie,Cardiovasculaire,traitement,True
Facteurs de risque de Maladie coronarienne ?,Les causes de Maladie coronarienne peuvent être multiples et varient d'une personne à l'autre. Une évaluation médicale permet d'identifier les facteurs spécifiques dans votre cas.,Maladie coronarienne,maladie,Cardiovasculaire,causes,False
Peux-tu m'expliquer ce qu'est Bronchopneumopathie chronique obstructive ?,"Bronchopneumopathie chronique obstructive (BPCO) est une pathologie en Respiratoire. Trouble de santé chronique affectant plusieurs systèmes, traité par changements de mode de vie et médicaments.",Bronchopneumopathie chronique obstructive,maladie,Respiratoire,definition,False
Aide-moi à comprendre Bronchopneumopathie chronique obstructive,"Bronchopneumopathie chronique obstructive (BPCO) est une pathologie en Respiratoire. Trouble de santé chronique affectant plusieurs systèmes, traité par changements de mode de vie et médicaments.",Bronchopneumopathie chronique obstructive,maladie,Respiratoire,definition,False
Qu'est-ce que Bronchopneumopathie chronique obstructive ?,"Bronchopneumopathie chronique obstructive (BPCO) est une pathologie en Respiratoire. Trouble de santé chronique affectant plusieurs systèmes, traité par changements de mode de vie et médicaments.",Bronchopneumopathie chronique obstructive,maladie,Respiratoire,definition,False
Que signifie l'abréviation BPCO ?,BPCO signifie Bronchopneumopathie chronique obstructive. C'est un terme utilisé en Respiratoire.,Bronchopneumopathie chronique obstructive,maladie,Respiratoire,abbreviation,False
"J'ai vu BPCO sur mes analyses, c'est quoi ?",BPCO signifie Bronchopneumopathie chronique obstructive. C'est un terme utilisé en Respiratoire.,Bronchopneumopathie chronique obstructive,maladie,Respiratoire,abbreviation,False
Symptômes typiques de Bronchopneumopathie chronique obstructive ?,"Les symptômes de Bronchopneumopathie chronique obstructive peuvent varier selon les individus. Il est essentiel de consulter un professionnel de santé pour un diagnostic précis basé sur votre situation personnelle.

⚠️ Important : Seul un professionnel de santé qualifié peut établir un diagnostic. Cette information est fournie à titre éducatif uniquement.",Bronchopneumopathie chronique obstructive,maladie,Respiratoire,symptomes,True
Quels sont les signes de Bronchopneumopathie chronique obstructive ?,"Les symptômes de Bronchopneumopathie chronique obstructive peuvent varier selon les individus. Il est essentiel de consulter un professionnel de santé pour un diagnostic précis basé sur votre situation personnelle.

⚠️ Important : Seul un professionnel de santé qualifié peut établir un diagnostic. Cette information est fournie à titre éducatif uniquement.",Bronchopneumopathie chronique obstructive,maladie,Respiratoire,symptomes,True
Options thérapeutiques pour Bronchopneumopathie chronique obstructive ?,"Le traitement de Bronchopneumopathie chronique obstructive doit être personnalisé selon chaque patient. Votre médecin déterminera la meilleure approche thérapeutique adaptée à votre situation.

⚠️ Important : Ne modifiez jamais votre traitement sans l'avis de votre médecin. Cette information est fournie à titre éducatif uniquement.",Bronchopneumopathie chronique obstructive,maladie,Respiratoire,traitement,True
Facteurs de risque de Bronchopneumopathie chronique obstructive ?,Les causes de Bronchopneumopathie chronique obstructive peuvent être multiples et varient d'une personne à l'autre. Une évaluation médicale permet d'identifier les facteurs spécifiques dans votre cas.,Bronchopneumopathie chronique obstructive,maladie,Respiratoire,causes,False
Je voudrais comprendre ce qu'est Asthme,Asthme est une pathologie en Respiratoire. Condition de santé avec des critères diagnostiques spécifiques et des protocoles de traitement.,Asthme,maladie,Respiratoire,definition,False
Peux-tu m'expliquer ce qu'est Asthme ?,Asthme est une pathologie en Respiratoire. Condition de santé avec des critères diagnostiques spécifiques et des protocoles de traitement.,Asthme,maladie,Respiratoire,definition,False
Peux-tu me dire ce qu'est Asthme ?,Asthme est une pathologie en Respiratoire. Condition de santé avec des critères diagnostiques spécifiques et des protocoles de traitement.,Asthme,maladie,Respiratoire,definition,False
